day,temperature_c,tmin,tmax,precip_mm,wind_speed_ms,visibility_m,month,mean,std,temp_zscore
2025-06-18,18.9375,11.0,28.0,0.0,5.1,9473.916666666666,6,18.559991687950166,3.177591430093606,0.11880328870307691
2025-06-19,21.90625,13.0,28.0,0.0,5.7,9672.895833333334,6,18.559991687950166,3.177591430093606,1.053080103489346
2025-06-20,22.75,16.0,28.0,0.0,6.2,9901.03125,6,18.559991687950166,3.177591430093606,1.318611408744391
2025-06-21,24.57608695652174,15.0,33.0,0.0,5.7,9568.478260869566,6,18.559991687950166,3.177591430093606,1.8932878568326037
2025-06-22,20.242105263157896,17.0,26.0,0.0,8.2,9259.208333333334,6,18.559991687950166,3.177591430093606,0.5293674823254976
2025-06-23,18.134831460674157,16.0,22.0,0.0,10.3,9756.755555555555,6,18.559991687950166,3.177591430093606,-0.13379952603393228
2025-06-24,17.829787234042552,12.0,24.0,0.0,7.7,9899.297872340425,6,18.559991687950166,3.177591430093606,-0.22979809392490202
2025-06-25,20.456521739130434,8.0,31.0,0.0,8.2,8382.03125,6,18.559991687950166,3.177591430093606,0.5968451554907419
2025-06-26,18.659574468085108,17.0,22.0,0.0,8.8,9887.854166666666,6,18.559991687950166,3.177591430093606,0.031339076255001055
2025-06-27,18.697916666666668,14.0,25.0,0.0,8.2,9863.864583333334,6,18.559991687950166,3.177591430093606,0.04340551066769416
2025-06-28,19.677083333333332,17.0,25.0,0.0,6.2,9892.895833333334,6,18.559991687950166,3.177591430093606,0.3515529513340418
2025-06-29,20.75,16.0,29.0,0.0,5.7,8875.625,6,18.559991687950166,3.177591430093606,0.6892038703620622
2025-06-30,25.21875,17.0,33.0,0.0,6.7,9898.875,6,18.559991687950166,3.177591430093606,2.095536338935078
2025-07-01,25.90625,18.0,37.0,0.0,6.2,9605.177083333334,7,19.247050647257907,1.924904347115052,3.459496240798957
2025-07-02,20.54945054945055,14.0,30.0,0.0,8.8,9048.58510638298,7,19.247050647257907,1.924904347115052,0.67660499813646
2025-07-03,17.4,10.0,24.0,0.0,6.7,9783.266666666666,7,19.247050647257907,1.924904347115052,-0.9595545098259941
2025-07-04,17.957894736842107,10.0,26.0,0.0,5.7,9901.03125,7,19.247050647257907,1.924904347115052,-0.6697246605255588
2025-07-05,18.28125,14.0,24.0,0.0,9.8,9881.760416666666,7,19.247050647257907,1.924904347115052,-0.5017395532954144
2025-07-06,17.66304347826087,15.0,23.0,0.0,7.7,8745.104166666666,7,19.247050647257907,1.924904347115052,-0.8229017568436922
2025-07-07,16.610526315789475,13.0,20.0,0.0,8.8,9793.072916666666,7,19.247050647257907,1.924904347115052,-1.3696910890247198
2025-07-08,16.305263157894736,12.0,21.0,0.0,8.2,9873.479166666666,7,19.247050647257907,1.924904347115052,-1.5282772329815622
2025-07-09,18.385416666666668,11.0,26.0,0.0,5.7,9906.09375,7,19.247050647257907,1.924904347115052,-0.44762431020669285
2025-07-10,19.895833333333332,12.0,28.0,0.0,5.7,9901.03125,7,19.247050647257907,1.924904347115052,0.3370467145797592
2025-07-11,21.364583333333332,13.0,27.0,0.0,5.7,9809.302083333334,7,19.247050647257907,1.924904347115052,1.1000716421307242
2025-07-12,20.677083333333332,15.0,26.0,0.0,7.2,9853.9375,7,19.247050647257907,1.924904347115052,0.7429110377451661
2025-07-13,19.979166666666668,12.0,28.0,0.0,7.2,9344.677083333334,7,19.247050647257907,1.924904347115052,0.3803389090507372
2025-07-14,19.976190476190474,17.0,26.0,0.0,8.8,9721.53488372093,7,19.247050647257907,1.924904347115052,0.37879275924820077
2025-07-15,18.520833333333332,15.0,23.0,0.0,9.3,9985.427083333334,7,19.247050647257907,1.924904347115052,-0.3772744941913569
2025-07-16,18.979166666666668,15.0,25.0,0.0,7.7,9639.010416666666,7,19.247050647257907,1.924904347115052,-0.13916742460098364
2025-07-17,19.46875,13.0,26.0,0.0,5.1,8908.25,7,19.247050647257907,1.924904347115052,0.11517421791600406
2025-07-18,23.26595744680851,15.0,31.0,0.0,7.2,9075.322916666666,7,19.247050647257907,1.924904347115052,2.087847536722505
2025-07-19,21.885416666666668,17.0,30.0,0.0,9.3,9937.125,7,19.247050647257907,1.924904347115052,1.37064785757433
2025-07-20,18.597826086956523,15.0,23.0,0.0,7.2,9721.260416666666,7,19.247050647257907,1.924904347115052,-0.33727627103882263
2025-07-21,17.47872340425532,15.0,21.0,0.0,7.7,9780.510416666666,7,19.247050647257907,1.924904347115052,-0.9186572027087301
2025-07-22,18.13684210526316,13.0,23.0,0.0,9.8,9839.895833333334,7,19.247050647257907,1.924904347115052,-0.576760369240514
2025-07-23,18.119565217391305,13.0,23.0,0.0,6.2,9945.08510638298,7,19.247050647257907,1.924904347115052,-0.5857358219157333
2025-07-24,18.75,15.0,25.0,0.0,7.7,9051.583333333334,7,19.247050647257907,1.924904347115052,-0.2582209593961703
2025-07-25,19.958333333333332,16.0,25.0,0.0,6.7,9623.427083333334,7,19.247050647257907,1.924904347115052,0.3695158604329917
2025-07-26,19.010416666666668,14.0,27.0,0.0,7.7,9508.760416666666,7,19.247050647257907,1.924904347115052,-0.12293285167436736
2025-07-27,18.47872340425532,16.0,22.0,0.0,7.2,9946.114583333334,7,19.247050647257907,1.924904347115052,-0.39915086905700925
